acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
2339,-1191,2566,-420,244,-82
2869,-903,2092,-284,82,-73
2626,-780,3033,-560,-163,-11
2367,-796,3734,-618,-150,-18
2504,-800,3496,-414,31,-94
2458,-798,3046,-268,119,-166
2685,-852,2911,-233,84,-232
2540,-951,3264,-289,4,-272
2473,-1073,3551,-315,24,-286
2353,-1155,3501,-309,115,-278
2227,-1273,3340,-312,208,-236
2077,-1304,3084,-232,251,-196
2373,-1190,2821,-129,235,-167
2210,-1063,3015,-170,165,-130
1966,-1001,3111,-96,178,-140
2089,-982,2724,101,226,-210
2287,-915,2306,249,168,-286
2330,-906,2274,185,21,-321
2345,-954,2459,89,-124,-343
2341,-1026,2720,55,-227,-370
2370,-1113,2865,65,-291,-397
2401,-1213,2981,85,-332,-409
2404,-1309,3047,91,-365,-391
2567,-1706,3088,-33,-401,-204
2892,-1478,3106,-2,-521,-87
2837,-1441,3980,-374,-588,115
2820,-1241,4386,-397,-470,243
2820,-1241,4386,-397,-470,243
2848,-949,4299,-282,-255,292
2849,-664,3686,-114,-100,251
2798,-485,3534,-99,-46,181
2900,-578,3707,-58,88,-63
2775,-754,3725,11,177,-173
2654,-916,3544,87,281,-259
2542,-1076,3286,140,355,-302
2438,-1210,3034,169,392,-297
2338,-1288,2840,197,384,-257
2311,-1325,2696,219,339,-197
2293,-1313,2644,220,270,-116
2298,-1216,2658,196,191,-33
2325,-1077,2721,133,117,47
2334,-929,2840,57,55,116


630,-1706,4120,-672,1371,413
509,-1490,4114,-1123,1539,503
288,-1473,3962,-1184,1760,478
-80,-1421,3225,-87,2014,116
-53,-1390,3199,433,1937,-95
47,-1159,2989,673,1799,-257
-15,-563,2729,-83,1567,-305
-97,-639,2967,-243,1239,-565
-228,-632,3042,-110,1085,-843
