acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,target
-443,-688,4250,140,-1128,-173,0
-381,-671,4278,155,-1117,-121,0
-313,-690,4554,149,-1122,-73,0
-211,-697,4804,130,-1084,-14,0
-226,-643,4604,125,-1004,44,0
-230,-437,4312,156,-982,88,0
-155,-417,4550,167,-1004,106,0
4,-688,4826,130,-999,121,0
76,-952,5221,96,-954,185,0
126,-657,5047,96,-844,282,0
81,-548,4576,123,-772,300,0
72,-820,4462,162,-776,311,0
114,-962,4535,213,-788,371,0
158,-876,4574,251,-786,457,0
229,-654,4636,276,-773,526,0
314,-475,4588,325,-741,555,0
383,-466,4445,404,-716,547,0
384,-854,4606,463,-707,537,0
387,-1162,4609,536,-666,612,0
344,-976,4282,583,-628,760,0
310,-499,4179,598,-666,898,0
388,206,4426,581,-722,994,0
459,469,4694,557,-731,994,0
531,421,5037,536,-701,981,0
612,598,5114,526,-620,992,0
603,623,4903,514,-527,969,0
623,487,4901,531,-474,947,0
702,557,5106,543,-424,952,0
737,478,5156,516,-330,952,0
722,340,4907,507,-226,977,0
701,601,4477,517,-170,1037,0
724,901,4243,495,-186,1068,0
776,820,4491,444,-238,1068,0
837,806,4927,373,-244,1113,0
893,1095,5009,272,-175,1174,0
828,1149,4964,160,-102,1193,0
767,1487,5073,114,-34,1213,0
818,2047,5180,152,64,1155,0
805,2058,5019,190,199,1000,0
672,1666,4479,225,314,850,0
580,1416,4080,271,345,778,0
606,1474,3978,303,323,750,0
676,1486,3918,332,295,709,0
724,1331,4056,325,251,668,0
830,1085,4469,304,223,663,0
894,1133,4685,290,260,692,0
880,1355,4489,222,335,723,0
807,1435,4230,154,374,710,0
764,1258,4210,110,371,683,0
741,1236,4225,103,383,679,0
667,1390,4105,107,414,674,0
630,1537,4005,134,422,644,0
701,1846,3979,125,420,599,0
578,1872,3730,160,422,481,0
474,1574,3712,188,381,374,0
514,1399,4035,189,342,334,0
513,1314,4142,150,374,322,0
441,1408,3779,103,423,325,0
319,1626,3335,67,415,303,0
263,1597,3284,64,347,240,0
293,1410,3558,86,278,179,0
322,1318,3672,92,265,155,0
288,1330,3515,78,275,142,0
218,1272,3259,53,252,121,0
217,1203,3336,35,183,110,0
289,1289,3701,12,126,107,0
292,1297,3775,-23,140,87,0
250,1179,3566,-53,159,64,0
252,1143,3529,-55,129,53,0
283,1250,3596,-59,97,46,0
271,1305,3594,-41,75,11,0
290,1211,3687,-27,45,-32,0
332,988,3885,-29,27,-60,0
349,766,4017,-47,37,-55,0
